INSERT INTO `item_template` (`id`, `TYPE`, `gender`, `NAME`, `description`, `icon_id`, `part`, `is_up_to_up`, `power_require`, `gold`, `gem`, `head`, `body`, `leg`, `ruby`) VALUES
(31, 3, 1, 'Giầy nhựa Pico', 'Giúp tăng MP', 406, -1, 0, 18000, 6000, 0, -1, -1, -1, 0),
(32, 3, 2, 'Giầy sắt', 'Giúp tăng MP', 404, -1, 0, 18000, 6000, 0, -1, -1, -1, 0),
(33, 0, 0, 'Áo thun 3 lỗ', 'Giúp giảm sát thương', 390, 14, 0, 12000, 5000, 0, -1, -1, -1, 0),
(34, 0, 0, 'Áo thun dày', 'Giúp giảm sát thương', 389, 1, 0, 80000, 20000, 0, -1, -1, -1, 0),
(35, 1, 0, 'Quần thun đen', 'Giúp tăng HP', 396, 15, 0, 10000, 4000, 0, -1, -1, -1, 0),
(36, 1, 0, 'Quần thun dày', 'Giúp tăng HP', 395, 2, 0, 66000, 18000, 0, -1, -1, -1, 0),
(37, 2, 0, 'Găng vải dày', 'Giúp tăng sức đánh', 407, -1, 0, 50000, 14000, 0, -1, -1, -1, 0),
(38, 2, 0, 'Găng thun dày', 'Giúp tăng sức đánh', 407, -1, 0, 200000, 30000, 0, -1, -1, -1, 0),
(39, 3, 0, 'Giày nhựa đế dày', 'Giúp tăng MP', 402, -1, 0, 18000, 6000, 0, -1, -1, -1, 0),
(40, 3, 0, 'Giày cao su đế dày', 'Giúp tăng MP', 402, -1, 0, 53000, 15000, 0, -1, -1, -1, 0),
(41, 0, 1, 'Áo sợi gai', 'Giúp giảm sát thương', 393, 10, 0, 12000, 5000, 0, -1, -1, -1, 0),
(42, 0, 1, 'Áo thun Pico', 'Giúp giảm sát thương', 394, 12, 0, 80000, 20000, 0, -1, -1, -1, 0),
(43, 1, 1, 'Quần sợi gai', 'Giúp tăng HP', 398, 11, 0, 10000, 4000, 0, -1, -1, -1, 0),
(44, 1, 1, 'Quần thun Pico', 'Giúp tăng HP', 397, 13, 0, 66000, 18000, 0, -1, -1, -1, 0),
(45, 2, 1, 'Găng thun Pico', 'Giúp tăng sức đánh', 412, -1, 0, 200000, 30000, 0, -1, -1, -1, 0),
(46, 2, 1, 'Găng sợi gai', 'Giúp tăng sức đánh', 411, -1, 0, 15000, 7000, 0, -1, -1, -1, 0),
(47, 3, 1, 'Giầy sợi gai', 'Giúp tăng MP', 405, -1, 0, 8000, 3000, 0, -1, -1, -1, 0),
(48, 3, 1, 'Giầy cao su Pico', 'Giúp tăng MP', 406, -1, 0, 53000, 15000, 0, -1, -1, -1, 0),
(49, 0, 2, 'Áo thun thô', 'Giúp giảm sát thương', 392, 16, 0, 12000, 5000, 0, -1, -1, -1, 0),
(50, 0, 2, 'Áo giáp đồng', 'Giúp giảm sát thương', 391, 7, 0, 80000, 20000, 0, -1, -1, -1, 0),
(51, 1, 2, 'Quần thun thô', 'Giúp tăng HP', 400, 17, 0, 10000, 4000, 0, -1, -1, -1, 0),
(52, 1, 2, 'Quần giáp đồng', 'Giúp tăng HP', 399, 8, 0, 66000, 18000, 0, -1, -1, -1, 0),
(53, 2, 2, 'Găng thun thô', 'Giúp tăng sức đánh', 409, -1, 0, 15000, 7000, 0, -1, -1, -1, 0),
(54, 2, 2, 'Găng đồng', 'Giúp tăng sức đánh', 410, -1, 0, 200000, 30000, 0, -1, -1, -1, 0),
(55, 3, 2, 'Giầy cao su thô', 'Giúp tăng MP', 403, -1, 0, 8000, 3000, 0, -1, -1, -1, 0),
(56, 3, 2, 'Giầy đồng', 'Giúp tăng MP', 404, -1, 0, 53000, 15000, 0, -1, -1, -1, 0),
(57, 4, 3, 'Rada cấp 2', 'Giúp tăng Chí Mạng', 433, -1, 0, 13000, 6000, 0, -1, -1, -1, 0),
(58, 4, 3, 'Rada cấp 3', 'Giúp tăng Chí Mạng', 1022, -1, 0, 28000, 12000, 0, -1, -1, -1, 0),
(59, 4, 3, 'Rada cấp 4', 'Giúp tăng Chí Mạng', 1023, -1, 0, 86000, 24000, 0, -1, -1, -1, 0),
(60, 6, 3, 'Đậu thần cấp 2', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(61, 6, 3, 'Đậu thần cấp 3', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(62, 6, 3, 'Đậu thần cấp 4', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(63, 6, 3, 'Đậu thần cấp 5', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(64, 6, 3, 'Đậu thần cấp 6', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(65, 6, 3, 'Đậu thần cấp 7', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(66, 7, 0, 'Sách đấm Dragon lv1', 'học kĩ năng đấm Dragon', 644, -1, 1, 1, 0, 5, -1, -1, -1, 0),
(67, 7, 0, 'Sách đấm Dragon lv2', 'nâng đấm Dragon lên cấp 2', 645, -1, 1, 1, 0, 10, -1, -1, -1, 0),
(68, 7, 0, 'Sách đấm Dragon lv3', 'nâng đấm Dragon lên cấp 3', 646, -1, 1, 1, 0, 15, -1, -1, -1, 0),
(69, 7, 0, 'Sách đấm Dragon lv4', 'nâng đấm Dragon lên cấp 4', 647, -1, 1, 1, 0, 20, -1, -1, -1, 0),
(70, 7, 0, 'Sách đấm Dragon lv5', 'nâng đấm Dragon lên cấp 5', 648, -1, 1, 1, 0, 25, -1, -1, -1, 0),
(71, 7, 0, 'Sách đấm Dragon lv6', 'nâng đấm Dragon lên cấp 6', 649, -1, 1, 1, 0, 30, -1, -1, -1, 0),
(72, 7, 0, 'Sách đấm Dragon lv7', 'nâng đấm Dragon lên cấp 7', 650, -1, 1, 1, 0, 35, -1, -1, -1, 0),
(73, 8, 3, 'Đùi gà', 'Cần tìm đủ 10 và mang về cho ông Gohan', 643, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(74, 27, 3, 'Đùi gà nướng', 'Ăn vào sẽ phục hồi toàn bộ HP MP', 643, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(75, 8, 3, 'Đùi heo Xayda', 'Cần tìm đủ 10 và mang về cho ông Paragus', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(76, 9, 3, 'Vàng', '', 927, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(77, 10, 3, 'Ngọc', '', 932, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(78, 11, 3, 'Đứa bé', 'Đứa bé trong phi thuyền tennis', 737, 736, 0, 0, 0, 0, -1, -1, -1, 0),
(79, 7, 1, 'Sách đấm Demon lv1', 'học kĩ năng đấm Demon', 665, -1, 1, 1, 0, 5, -1, -1, -1, 0),
(80, 7, 1, 'Sách đấm Demon lv2', 'nâng đòn đấm Demon lên cấp 2', 666, -1, 1, 1, 0, 10, -1, -1, -1, 0),
(81, 7, 1, 'Sách đấm Demon lv3', 'nâng đòn đấm Demon lên cấp 3', 667, -1, 1, 1, 0, 15, -1, -1, -1, 0),
(82, 7, 1, 'Sách đấm Demon lv4', 'nâng đòn đấm Demon lên cấp 4', 668, -1, 1, 1, 0, 20, -1, -1, -1, 0),
(83, 7, 1, 'Sách đấm Demon lv5', 'nâng đòn đấm Demon lên cấp 5', 669, -1, 1, 1, 0, 25, -1, -1, -1, 0),
(84, 7, 1, 'Sách đấm Demon lv6', 'nâng đòn đấm Demon lên cấp 6', 670, -1, 1, 1, 0, 30, -1, -1, -1, 0),
(85, 8, 3, 'Truyện tranh', 'Vật phẩm nhiệm vụ', 1041, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(86, 7, 1, 'Sách đấm Demon lv7', 'nâng đòn đấm Demon lên cấp 7', 671, -1, 1, 1, 0, 35, -1, -1, -1, 0),
(87, 7, 2, 'Sách đấm Galick lv1', 'học kĩ năng đấm Galick', 679, -1, 1, 1, 0, 5, -1, -1, -1, 0),
(88, 7, 2, 'Sách đấm Galick lv2', 'nâng đòn đấm Galick lên cấp 2', 680, -1, 1, 1, 0, 10, -1, -1, -1, 0),
(89, 7, 2, 'Sách đấm Galick lv3', 'nâng đòn đấm Galick lên cấp 3', 681, -1, 1, 1, 0, 15, -1, -1, -1, 0),
(90, 7, 2, 'Sách đấm Galick lv4', 'nâng đòn đấm Galick lên cấp 4', 682, -1, 1, 1, 0, 20, -1, -1, -1, 0),
(91, 7, 2, 'Sách đấm Galick lv5', 'nâng đòn đấm Galick lên cấp 5', 683, -1, 1, 1, 0, 25, -1, -1, -1, 0),
(92, 7, 2, 'Sách đấm Galick lv6', 'nâng đòn đấm Galick lên cấp 6', 684, -1, 1, 1, 0, 30, -1, -1, -1, 0),
(93, 7, 2, 'Sách đấm Galick lv7', 'nâng đòn đấm Galick lên cấp 7', 685, -1, 1, 1, 0, 35, -1, -1, -1, 0),
(94, 7, 0, 'Sách Kamejoko lv1', 'học kĩ năng Kamejoko', 651, -1, 1, 0, 0, 10, -1, -1, -1, 0),
(95, 7, 0, 'Sách Kamejoko lv2', 'nâng đòn Kamejoko lên cấp 2', 652, -1, 1, 0, 0, 20, -1, -1, -1, 0),
(96, 7, 0, 'Sách Kamejoko lv3', 'nâng đòn Kamejoko lên cấp 3', 653, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(97, 7, 0, 'Sách Kamejoko lv4', 'nâng đòn Kamejoko lên cấp 4', 654, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(98, 7, 0, 'Sách Kamejoko lv5', 'nâng đòn Kamejoko lên cấp 5', 655, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(99, 7, 0, 'Sách Kamejoko lv6', 'nâng đòn Kamejoko lên cấp 6', 656, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(100, 7, 0, 'Sách Kamejoko lv7', 'nâng đòn Kamejoko lên cấp 7', 657, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(101, 7, 1, 'Sách Masenko lv1', 'học kĩ năng Masenko', 672, -1, 1, 0, 0, 10, -1, -1, -1, 0),
(102, 7, 1, 'Sách Masenko lv2', 'nâng đòn Masenko lên cấp 2', 673, -1, 1, 0, 0, 20, -1, -1, -1, 0),
(103, 7, 1, 'Sách Masenko lv3', 'nâng đòn Masenko lên cấp 3', 674, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(104, 7, 1, 'Sách Masenko lv4', 'nâng đòn Masenko lên cấp 4', 675, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(105, 7, 1, 'Sách Masenko lv5', 'nâng đòn Masenko lên cấp 5', 676, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(106, 7, 1, 'Sách Masenko lv6', 'nâng đòn Masenko lên cấp 6', 677, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(107, 7, 1, 'Sách Masenko lv7', 'nâng đòn Masenko lên cấp 7', 678, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(108, 7, 2, 'Sách Antomic lv1', 'học kĩ năng Antomic', 686, -1, 1, 0, 0, 10, -1, -1, -1, 0),
(109, 7, 2, 'Sách Antomic lv2', 'nâng đòn Antomic lên cấp 2', 687, -1, 1, 0, 0, 20, -1, -1, -1, 0),
(110, 7, 2, 'Sách Antomic lv3', 'nâng Antomic lên cấp 3', 688, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(111, 7, 2, 'Sách Antomic lv4', 'nâng Antomic lên cấp 4', 689, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(112, 7, 2, 'Sách Antomic lv5', 'nâng Antomic lên cấp 5', 690, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(113, 7, 2, 'Sách Antomic lv6', 'nâng Antomic lên cấp 6', 691, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(114, 7, 2, 'Sách Antomic lv7', 'nâng Antomic lên cấp 7', 692, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(115, 7, 0, 'Thái Dương Hạ San lv1', 'học Thái Dương Hạ San', 658, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(116, 7, 0, 'Thái Dương Hạ San lv2', 'nâng TDHS lên cấp 2', 659, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(117, 7, 0, 'Thái Dương Hạ San lv3', 'nâng TDHS lên cấp 3', 660, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(118, 7, 0, 'Thái Dương Hạ San lv4', 'nâng TDHS lên cấp 4', 661, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(119, 7, 0, 'Thái Dương Hạ San lv5', 'nâng TDHS lên cấp 5', 662, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(120, 7, 0, 'Thái Dương Hạ San lv6', 'nâng TDHS lên cấp 6', 663, -1, 1, 0, 0, 80, -1, -1, -1, 0),
(121, 7, 0, 'Thái Dương Hạ San lv7', 'nâng TDHS lên cấp 7', 664, -1, 1, 0, 0, 90, -1, -1, -1, 0),
(122, 7, 1, 'Sách học Trị thương lv1', 'học trị thương', 1090, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(123, 7, 1, 'Sách học Trị thương lv2', 'nâng trị thương lên cấp 2', 1091, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(124, 7, 1, 'Sách học Trị thương lv3', 'nâng trị thương lên cấp 3', 1092, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(125, 7, 1, 'Sách học Trị thương lv4', 'nâng trị thương lên cấp 4', 1093, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(126, 7, 1, 'Sách học Trị thương lv5', 'nâng trị thương lên cấp 5', 1094, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(127, 7, 1, 'Sách học Trị thương lv6', 'nâng trị thương lên cấp 6', 1095, -1, 1, 0, 0, 80, -1, -1, -1, 0),
(128, 7, 1, 'Sách học Trị thương lv7', 'nâng trị thương lên cấp 7', 1096, -1, 1, 0, 0, 90, -1, -1, -1, 0),
(129, 7, 2, 'Tái tạo năng lượng lv1', 'học Tái tạo năng lượng', 1097, -1, 1, 0, 0, 30, -1, -1, -1, 0),
(130, 7, 2, 'Tái tạo năng lượng lv2', 'nâng Tái tạo năng lượng lên cấp 2', 1098, -1, 1, 0, 0, 40, -1, -1, -1, 0),
(131, 7, 2, 'Tái tạo năng lượng lv3', 'nâng Tái tạo năng lượng lên cấp 3', 1099, -1, 1, 0, 0, 50, -1, -1, -1, 0),
(132, 7, 2, 'Tái tạo năng lượng lv4', 'nâng Tái tạo năng lượng lên cấp 4', 1100, -1, 1, 0, 0, 60, -1, -1, -1, 0),
(133, 7, 2, 'Tái tạo năng lượng lv5', 'nâng Tái tạo năng lượng lên cấp 5', 1101, -1, 1, 0, 0, 70, -1, -1, -1, 0),
(134, 7, 2, 'Tái tạo năng lượng lv6', 'nâng Tái tạo năng lượng lên cấp 6', 1102, -1, 1, 0, 0, 80, -1, -1, -1, 0),
(135, 7, 2, 'Tái tạo năng lượng lv7', 'nâng Tái tạo năng lượng lên cấp 7', 1103, -1, 1, 0, 0, 90, -1, -1, -1, 0),
(136, 0, 0, 'Áo vải Kame', 'Giúp bạn giảm sát thương', 938, 65, 0, 240000, 50000, 0, -1, -1, -1, 0),
(137, 0, 0, 'Áo thun Kame', 'Giúp bạn giảm sát thương', 938, 65, 0, 720000, 100000, 0, -1, -1, -1, 0),
(138, 0, 0, 'Áo võ Kame', 'Giúp bạn giảm sát thương', 949, 71, 0, 2200000, 200000, 0, -1, -1, -1, 0),
(139, 0, 0, 'Áo võ Goku', 'Giúp bạn giảm sát thương', 949, 71, 0, 6400000, 500000, 0, -1, -1, -1, 0),
(140, 1, 0, 'Quần vải Kame', 'Giúp bạn tăng HP', 939, 66, 0, 200000, 45000, 0, -1, -1, -1, 0),
(141, 1, 0, 'Quần thun Kame', 'Giúp bạn tăng HP', 939, 66, 0, 600000, 90000, 0, -1, -1, -1, 0),
(142, 1, 0, 'Quần võ Kame', 'Giúp bạn tăng HP', 950, 72, 0, 1800000, 180000, 0, -1, -1, -1, 0),
(143, 1, 0, 'Quần võ goku', 'Giúp bạn tăng HP', 950, 72, 0, 5300000, 400000, 0, -1, -1, -1, 0),
(144, 2, 0, 'Găng vải Kame', 'Giúp bạn tăng sức đánh', 947, -1, 0, 800000, 60000, 0, -1, -1, -1, 0),
(145, 2, 0, 'Găng thun Kame', 'Giúp bạn tăng sức đánh', 947, -1, 0, 3200000, 120000, 0, -1, -1, -1, 0),
(146, 2, 0, 'Găng võ Kame', 'Giúp bạn tăng sức đánh', 953, -1, 0, 10000000, 240000, 0, -1, -1, -1, 0),
(147, 2, 0, 'Găng võ goku', 'Giúp bạn tăng sức đánh', 953, -1, 0, 20000000, 600000, 0, -1, -1, -1, 0),
(148, 3, 0, 'Giày nhựa Kame', 'Giúp bạn tăng MP', 940, -1, 0, 160000, 30000, 0, -1, -1, -1, 0),
(149, 3, 0, 'Giày cao su Kame', 'Giúp bạn tăng MP', 940, -1, 0, 480000, 70000, 0, -1, -1, -1, 0),
(150, 3, 0, 'Giày võ kame', 'Giúp bạn tăng MP', 952, -1, 0, 1400000, 150000, 0, -1, -1, -1, 0),
(151, 3, 0, 'Giày võ goku', 'Giúp bạn tăng MP', 952, -1, 0, 4300000, 350000, 0, -1, -1, -1, 0),
(152, 0, 1, 'Áo choàng len', 'Giúp bạn giảm sát thương', 942, 67, 0, 240000, 50000, 0, -1, -1, -1, 0),
(153, 0, 1, 'Áo choàng thun', 'Giúp bạn giảm sát thương', 942, 67, 0, 720000, 100000, 0, -1, -1, -1, 0),
(154, 0, 1, 'Áo vải Pico', 'Giúp bạn giảm sát thương', 959, 75, 0, 2200000, 200000, 0, -1, -1, -1, 0),
(155, 0, 1, 'Áo da Pico', 'Giúp bạn giảm sát thương', 959, 75, 0, 6400000, 500000, 0, -1, -1, -1, 0),
(156, 1, 1, 'Quần len cứng', 'Giúp bạn tăng HP', 943, 68, 0, 200000, 45000, 0, -1, -1, -1, 0),
(157, 1, 1, 'Quần thun cứng', 'Giúp bạn tăng HP', 943, 68, 0, 600000, 90000, 0, -1, -1, -1, 0),
(158, 1, 1, 'Quần vải cứng Pico', 'Giúp bạn tăng HP', 960, 76, 0, 1800000, 180000, 0, -1, -1, -1, 0),
(159, 1, 1, 'Quần vải mềm Pico', 'Giúp bạn tăng HP', 960, 76, 0, 5300000, 400000, 0, -1, -1, -1, 0),
(160, 2, 1, 'Găng len cứng', 'Giúp bạn tăng sức đánh', 948, -1, 0, 800000, 60000, 0, -1, -1, -1, 0),
(161, 2, 1, 'Găng thun cứng', 'Giúp bạn tăng sức đánh', 948, -1, 0, 3200000, 120000, 0, -1, -1, -1, 0),
(162, 2, 1, 'Găng vải Pico', 'Giúp bạn tăng sức đánh', 961, -1, 0, 10000000, 240000, 0, -1, -1, -1, 0),
(163, 2, 1, 'Găng da Pico', 'Giúp bạn tăng sức đánh', 961, -1, 0, 20000000, 600000, 0, -1, -1, -1, 0),
(164, 3, 1, 'Giày nhựa cứng', 'Giúp bạn tăng MP', 945, -1, 0, 160000, 30000, 0, -1, -1, -1, 0),
(165, 3, 1, 'Giày cao su cứng', 'Giúp bạn tăng MP', 945, -1, 0, 480000, 70000, 0, -1, -1, -1, 0),
(166, 3, 1, 'Giày da Pico', 'Giúp bạn tăng MP', 963, -1, 0, 1400000, 150000, 0, -1, -1, -1, 0),
(167, 3, 1, 'Giày sắt Pico', 'Giúp bạn tăng MP', 963, -1, 0, 4300000, 350000, 0, -1, -1, -1, 0),
(168, 0, 2, 'Áo giáp bạc', 'Giúp bạn giảm sát thương', 934, 69, 0, 240000, 50000, 0, -1, -1, -1, 0),
(169, 0, 2, 'Áo giáp vàng', 'Giúp bạn giảm sát thương', 934, 69, 0, 720000, 100000, 0, -1, -1, -1, 0),
(170, 0, 2, 'Áo lông Xayda', 'Giúp bạn giảm sát thương', 954, 73, 0, 2200000, 200000, 0, -1, -1, -1, 0),
(171, 0, 2, 'Áo khoác Xayda', 'Giúp bạn giảm sát thương', 954, 73, 0, 6400000, 500000, 0, -1, -1, -1, 0),
(172, 1, 2, 'Quần giáp bạc', 'Giúp bạn tăng HP', 935, 70, 0, 200000, 45000, 0, -1, -1, -1, 0),
(173, 1, 2, 'Quần giáp vàng', 'Giúp bạn tăng HP', 935, 70, 0, 600000, 90000, 0, -1, -1, -1, 0),
(174, 1, 2, 'Quần lông Xayda', 'Giúp bạn tăng HP', 955, 74, 0, 1800000, 180000, 0, -1, -1, -1, 0),
(175, 1, 2, 'Quần da Xayda', 'Giúp bạn tăng HP', 955, 74, 0, 5300000, 400000, 0, -1, -1, -1, 0),
(176, 2, 2, 'Găng bạc', 'Giúp bạn tăng sức đánh', 946, -1, 0, 800000, 60000, 0, -1, -1, -1, 0),
(177, 2, 2, 'Găng vàng', 'Giúp bạn tăng sức đánh', 946, -1, 0, 3200000, 120000, 0, -1, -1, -1, 0),
(178, 2, 2, 'Găng lông Xayda', 'Giúp bạn tăng sức đánh', 956, -1, 0, 10000000, 240000, 0, -1, -1, -1, 0),
(179, 2, 2, 'Găng da Xayda', 'Giúp bạn tăng sức đánh', 956, -1, 0, 20000000, 600000, 0, -1, -1, -1, 0),
(180, 3, 2, 'Giày bạc', 'Giúp bạn tăng MP', 936, -1, 0, 160000, 30000, 0, -1, -1, -1, 0),
(181, 3, 2, 'Giày vàng', 'Giúp bạn tăng MP', 936, -1, 0, 480000, 70000, 0, -1, -1, -1, 0),
(182, 3, 2, 'Giày lông Xayda', 'Giúp bạn tăng MP', 957, -1, 0, 1400000, 150000, 0, -1, -1, -1, 0),
(183, 3, 2, 'Giày da Xayda', 'Giúp bạn tăng MP', 957, -1, 0, 4300000, 350000, 0, -1, -1, -1, 0),
(184, 4, 3, 'Rada cấp 5', 'Giúp bạn tăng Chí Mạng', 1019, -1, 0, 260000, 55000, 0, -1, -1, -1, 0),
(185, 4, 3, 'Rada cấp 6', 'Giúp bạn tăng Chí Mạng', 1020, -1, 0, 780000, 110000, 0, -1, -1, -1, 0),
(186, 4, 3, 'Rada cấp 7', 'Giúp bạn tăng Chí Mạng', 1021, -1, 0, 2300000, 220000, 0, -1, -1, -1, 0),
(187, 4, 3, 'Rada cấp 8', 'Giúp bạn tăng Chí Mạng', 434, -1, 0, 7000000, 550000, 0, -1, -1, -1, 0),
(188, 9, 3, 'Vàng', '', 927, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(189, 9, 3, 'Vàng', '', 928, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(190, 9, 3, 'Vàng', '', 929, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(191, 27, 3, 'Cà chua', '', 931, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(192, 27, 3, 'Cà rốt', '', 933, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(193, 27, 3, 'Gói 10 viên Capsule', 'Tàu Vận Chuyển', 1087, -1, 1, 0, 0, 3, -1, -1, -1, 0),
(194, 27, 3, 'Capsule Víp', 'Tàu Vận Chuyển VIP dùng không giới hạn số lần', 1088, -1, 1, 0, 0, 1000, -1, -1, -1, 0),
(195, 27, 3, 'Siêu thánh thủy', 'Tẩy toàn bộ tiềm năng', 1088, -1, 1, 0, 0, 0, -1, -1, -1, 0),
